kode,nama,ranking,klaster,input,proses,output,outcome,total
083016,Sekolah Tinggi Ilmu Ekonomi 45 Mataram,1679,5,0.474,1.434,0.000,0.000,0.453
143008,Sekolah Tinggi Ilmu Administrasi Asy Syafi iyah,1680,5,0.000,1.599,0.000,0.177,0.453
103131,STIE Prakarti Mulya,1681,5,0.764,1.199,0.000,0.000,0.452
063067,STIMIK Tunas Bangsa Banjarnegara,1682,5,0.829,1.147,0.000,0.000,0.452
093133,Sekolah Tinggi Ilmu Pariwisata Manado,1683,5,0.000,1.809,0.000,0.000,0.452
143024,Sekolah Tinggi Ilmu Pertanian Petra Baliem Wamena,1684,5,1.000,0.916,0.046,0.037,0.451
093121,Sekolah Tinggi Ilmu Ekonomi Mujahidin,1685,5,0.094,1.729,0.000,0.000,0.451
083094,STIKES Griya Husada Sumbawa,1686,5,0.004,1.675,0.108,0.000,0.447
063061,STMIK YMI Tegal,1687,5,0.728,1.202,0.000,0.000,0.446
023069,STIKESMAS Abdi Nusa,1688,5,0.914,1.052,0.000,0.000,0.446
043233,STMIK Dharma Putra,1689,5,1.000,0.983,0.000,0.000,0.446
093111,STMIK Adhi Guna,1690,5,1.000,0.775,0.025,0.153,0.446
